Time,Roll,Pitch,Yaw,aX,aY,aZ
13:16:38.1602,-103.23,-79.55,-74.45,0.0,0.0,0.0
13:16:38.2259,-103.24,-79.56,-74.43,0.0,0.0,0.0
13:16:38.2922,-103.23,-79.56,-74.45,0.0,0.0,0.0
13:16:38.3601,-103.24,-79.56,-74.44,0.0,0.0,0.0
13:16:38.4265,-103.25,-79.56,-74.43,0.0,0.0,0.0
13:16:38.4923,-103.24,-79.55,-74.43,0.0,0.0,0.0
13:16:38.5601,-103.25,-79.55,-74.43,0.0,0.0,0.0
13:16:38.6257,-103.23,-79.55,-74.45,0.0,0.0,0.0
13:16:38.6944,-103.22,-79.56,-74.46,0.0,0.0,0.0
13:16:38.7605,-103.23,-79.56,-74.45,0.0,0.0,0.0
13:16:38.8275,-103.23,-79.56,-74.44,0.0,0.0,0.0
13:16:38.8944,-103.22,-79.56,-74.46,0.0,0.0,0.0
13:16:38.9612,-103.22,-79.55,-74.46,0.0,0.0,0.0
13:16:39.2837,-103.21,-79.55,-74.47,0.0,0.0,0.0
13:16:39.9537,-103.14,-79.55,-74.53,0.65,1.38,3.45
13:16:39.1614,-103.11,-79.55,-74.57,0.23,0.59,-5.64
13:16:39.2292,-103.19,-79.54,-74.5,0.65,0.77,1.68
13:16:39.2963,-103.09,-79.53,-74.59,1.63,0.71,2.54
13:16:39.3636,-103.09,-79.51,-74.59,0.77,0.16,-0.09
13:16:39.4285,-103.13,-79.49,-74.55,1.26,0.35,0.95
13:16:39.4963,-103.16,-79.5,-74.52,1.87,0.83,0.46
13:16:39.5627,-103.11,-79.49,-74.56,-0.38,-1.24,-0.82
13:16:39.6335,-102.97,-79.48,-74.68,-0.75,-0.63,-2.65
13:16:39.7039,-102.84,-79.47,-74.83,1.32,1.38,1.32
13:16:39.7626,-102.68,-79.45,-74.98,1.14,0.41,0.83
13:16:39.8311,-102.55,-79.43,-75.12,0.9,2.05,3.08
13:16:39.8963,-102.6,-79.41,-75.09,1.45,1.02,1.5
13:16:39.9642,-102.68,-79.4,-75.0,1.14,1.02,2.47
13:16:40.3077,-102.67,-79.4,-75.03,1.02,0.59,1.56
13:16:40.9747,-102.69,-79.4,-75.01,-0.2,-0.14,-0.64
13:16:40.1658,-102.65,-79.41,-75.06,1.02,1.02,1.93
13:16:40.2311,-102.51,-79.39,-75.22,0.04,-0.2,-0.88
13:16:40.2993,-102.5,-79.38,-75.25,0.53,0.47,0.28
13:16:40.3645,-102.47,-79.36,-75.28,0.53,-0.69,-0.94
13:16:40.4317,-102.48,-79.34,-75.26,0.04,-1.0,-1.73
13:16:40.4988,-102.4,-79.31,-75.35,1.14,-1.0,-1.55
13:16:40.5646,-102.06,-79.32,-75.68,0.9,-3.25,2.47
13:16:40.6317,-100.56,-79.26,-77.17,1.14,-2.22,0.04
13:16:40.6992,-99.61,-79.3,-78.11,-0.75,-1.12,0.4
13:16:40.7663,-98.86,-79.2,-78.84,-0.51,-3.8,-1.49
13:16:40.8333,-97.45,-79.24,-80.24,-0.38,-2.28,-0.94
13:16:40.9003,-96.76,-79.24,-80.91,-1.05,-0.51,0.4
13:16:40.9671,-95.84,-79.16,-81.81,-0.02,-2.52,0.52
13:16:41.3377,-94.49,-79.19,-83.11,-0.69,-1.61,-1.79
13:16:41.1013,-93.75,-79.18,-83.8,-1.79,0.16,-2.1
13:16:41.1682,-92.72,-79.09,-84.78,-0.87,-2.4,-4.6
13:16:41.2351,-91.35,-79.13,-86.1,-0.08,-1.73,0.77
13:16:41.3011,-90.39,-79.13,-86.98,-0.75,-0.87,-0.76
